stn_id,name_en,name_zh,stn_type,role,priority,fetch_start,lat,lon,alt_m,station_start,station_end,remark
467550,yushan,玉山,cwb,truth,1,2008-01,23.48718,120.95943,3844.8,1943-01-01,,
C0H9C0,hehuanshan,合歡山,auto_C0,target,1,2008-02,24.143442,121.272547,3402,2008-02-25,,原(C0F950)站因縣市代碼不符，於2008/2/25重新編碼為(C0H9C0)站。
466910,anbu,鞍部,cwb,truth,2,2023-01,25.182586,121.529731,837.6,1937-01-01,,
466920,taipei,臺北,cwb,truth,2,2023-01,25.037658,121.514853,6.3,1896-01-01,,1992/02至1997/08因本署改建，觀測地點移至臺北師院(466921)。2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m)。
467530,alishan,阿里山,cwb,truth,2,2023-01,23.508208,120.813242,2413.4,1933-01-01,,
C0H990,kunyang,昆陽,auto_C0,neighbor,2,2008-01,24.121322,121.273642,3076,1992-05-23,,本站於2015/8/24起進行儀器汰換，並於2015/12/31完成驗收。
C0I530,xiaoqilai,小奇萊,auto_C0,neighbor,3,2017-12,24.131764,121.295717,3014,2017-12-28,,
C0I540,qilai_ridge,奇萊稜線,auto_C0,neighbor,3,2017-12,24.109231,121.326456,3344,2017-12-28,,
C0T790,dayuling,大禹嶺,auto_C0,neighbor,3,2008-01,24.186117,121.316086,2830,1994-11-18,,
C0F950,hehuanshan_old,合歡山,auto_C0,archive,9,,24.14349,121.272592,3430,1990-07-01,2008-02-24,原(C0F950)站因縣市代碼不符，於2008/2/25重新編碼為(C0H9C0)站。
