night,sat_n_valid,sat_n_clear,sat_longest_clear_run,sat_mean_cloud,sat_def_A,sat_def_B,sat_def_C,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,manual_cloud_2021_mean,manual_cloud_2021_max,manual_cloud_2021_n,evening_clear,moon_illum,dark_hours,night_hours,dark_frac
2023-01-01,9.000,0.000,0.000,10.000,0.000,0.000,0.000,85.333,80.000,92.000,2.540,1.320,3.550,19.144,18.400,19.700,2.689,1.700,3.300,1020.056,1019.200,1020.600,-77.900,9.000,9.000,0.981,0.960,1.000,0.441,0.976,0.001,0.976,0.960,89.778,18.833,0.000,,,0.000,,0.740,2.920,10.680,0.273
2023-01-02,9.000,0.000,0.000,10.000,0.000,0.000,0.000,89.778,88.000,91.000,1.691,1.470,2.010,16.833,16.400,17.600,2.600,1.400,3.700,1021.344,1020.700,1022.000,-29.400,9.000,9.000,1.000,1.000,1.000,1.000,0.689,0.003,0.690,0.510,94.000,17.322,3.500,,,0.000,,0.822,1.980,10.680,0.185
2023-01-03,9.000,0.000,0.000,10.000,0.000,0.000,0.000,91.444,89.000,94.000,1.383,0.960,1.800,14.689,14.500,15.000,3.044,2.200,3.900,1022.389,1021.700,1022.800,-49.000,9.000,9.000,1.000,1.000,1.000,1.000,0.429,0.000,0.429,0.180,91.778,15.367,1.300,,,0.000,,0.890,1.040,10.670,0.097
2023-01-04,9.000,0.000,0.000,8.778,0.000,0.000,0.000,92.889,89.000,97.000,1.170,0.480,1.830,17.678,17.000,18.100,2.378,0.700,3.500,1019.811,1019.000,1020.600,-9.800,9.000,9.000,0.384,0.210,0.590,0.353,0.086,0.008,0.093,0.030,91.778,16.900,0.200,,,0.000,,0.943,0.110,10.670,0.010
2023-01-05,9.000,0.000,0.000,9.667,0.000,0.000,0.000,93.222,91.000,96.000,1.118,0.650,1.510,18.678,18.300,19.700,1.744,0.600,3.100,1019.689,1018.700,1020.500,-19.100,9.000,9.000,0.919,0.610,1.000,0.919,0.103,0.000,0.103,0.000,94.444,18.811,0.200,,,0.000,,0.978,0.000,10.660,0.000
2023-01-06,9.000,0.000,0.000,9.889,0.000,0.000,0.000,77.889,70.000,82.000,3.926,3.110,5.540,17.767,17.600,18.000,2.011,1.600,2.400,1019.567,1018.900,1020.100,0.000,9.000,9.000,0.441,0.280,0.570,0.371,0.146,0.088,0.223,0.100,86.222,16.933,0.000,,,0.000,,0.996,0.000,10.650,0.000
2023-01-07,8.000,0.000,0.000,9.875,0.000,0.000,0.000,66.778,62.000,71.000,6.258,5.320,7.360,17.344,17.200,17.500,3.411,3.100,3.800,1018.622,1017.400,1019.700,0.000,9.000,9.000,0.337,0.160,0.600,0.133,0.044,0.239,0.269,0.079,70.778,16.056,0.000,,,0.000,,0.996,0.000,10.650,0.000
2023-01-08,9.000,0.000,0.000,10.000,0.000,0.000,0.000,74.111,68.000,79.000,4.773,3.720,6.130,19.656,18.800,20.800,1.144,0.300,2.000,1016.378,1015.600,1017.200,0.000,9.000,9.000,0.803,0.500,1.000,0.026,0.723,0.568,0.836,0.543,84.444,18.344,0.000,,,0.000,,0.979,0.000,10.640,0.000
2023-01-09,9.000,0.000,0.000,10.000,0.000,0.000,0.000,94.667,84.000,97.000,0.892,0.480,2.790,18.611,18.100,20.100,2.211,1.700,2.800,1016.833,1015.500,1017.700,-23.400,9.000,9.000,0.973,0.760,1.000,0.307,0.970,0.290,0.973,0.766,94.556,18.956,7.300,,,0.000,,0.944,0.620,10.630,0.059
2023-01-10,9.000,0.000,0.000,10.000,0.000,0.000,0.000,87.778,86.000,90.000,2.082,1.680,2.410,19.422,19.200,19.700,2.511,1.500,3.400,1014.856,1013.800,1015.700,-39.200,9.000,9.000,0.737,0.430,0.960,0.250,0.626,0.517,0.774,0.400,90.000,19.178,0.000,,,0.000,,0.894,1.510,10.620,0.142
2023-01-11,9.000,0.000,0.000,9.778,0.000,0.000,0.000,75.111,69.000,86.000,4.623,2.420,5.950,21.500,20.000,22.000,2.333,1.200,3.600,1012.933,1012.000,1013.800,0.000,9.000,9.000,0.698,0.310,0.900,0.160,0.658,0.000,0.658,0.240,89.222,20.211,0.000,,,0.000,,0.829,2.370,10.620,0.223
2023-01-12,9.000,0.000,0.000,8.444,0.000,0.000,0.000,87.556,84.000,93.000,2.138,1.160,2.790,19.900,18.900,20.600,0.933,0.500,1.700,1011.300,1009.600,1012.800,0.000,9.000,9.000,0.364,0.110,0.810,0.041,0.242,0.140,0.367,0.119,92.556,19.722,0.200,,,0.000,,0.752,3.230,10.610,0.304
2023-01-13,9.000,0.000,0.000,8.222,0.000,0.000,0.000,79.000,71.000,89.000,3.881,1.880,5.610,22.922,21.000,24.600,1.256,0.600,2.300,1007.411,1006.500,1008.600,0.000,9.000,9.000,0.377,0.100,0.640,0.137,0.354,0.018,0.362,0.070,90.000,21.778,0.000,,,0.000,,0.664,4.080,10.600,0.385
2023-01-14,9.000,0.000,0.000,9.222,0.000,0.000,0.000,87.889,82.000,94.000,2.104,1.010,3.270,20.967,17.900,24.300,2.556,0.500,4.700,1008.511,1006.300,1010.900,-12.600,9.000,9.000,0.941,0.690,1.000,0.937,0.324,0.000,0.324,0.210,94.000,20.767,5.000,,,0.000,,0.567,4.970,10.590,0.469
2023-01-15,9.000,0.000,0.000,6.333,0.000,0.000,0.000,81.333,80.000,83.000,3.126,2.810,3.390,12.889,12.600,13.600,3.022,1.900,3.900,1018.256,1017.400,1018.600,0.000,9.000,9.000,1.000,1.000,1.000,1.000,0.336,0.000,0.336,0.220,88.333,12.767,1.900,,,0.000,,0.464,5.890,10.580,0.557
2023-01-16,9.000,0.000,0.000,10.000,0.000,0.000,0.000,89.333,88.000,90.000,1.719,1.610,1.940,13.211,12.600,13.700,2.111,1.200,3.100,1020.156,1019.100,1020.800,-29.400,9.000,9.000,0.954,0.750,1.000,0.950,0.359,0.000,0.359,0.210,90.444,12.744,0.500,,,0.000,,0.360,6.870,10.570,0.650
2023-01-17,9.000,0.000,0.000,10.000,0.000,0.000,0.000,90.667,86.000,96.000,1.524,0.630,2.340,14.889,14.000,15.700,1.200,0.500,2.200,1021.200,1020.500,1021.400,-38.700,9.000,9.000,1.000,1.000,1.000,1.000,0.304,0.000,0.304,0.010,91.444,14.867,2.100,,,0.000,,0.259,7.930,10.560,0.751
2023-01-18,9.000,0.000,0.000,9.667,0.000,0.000,0.000,82.444,79.000,87.000,2.960,2.130,3.600,14.356,14.000,14.600,2.411,1.800,3.100,1020.700,1020.000,1021.200,0.000,9.000,9.000,1.000,1.000,1.000,1.000,0.110,0.002,0.112,0.020,85.333,14.089,0.400,,,0.000,,0.166,9.050,10.550,0.858
2023-01-19,9.000,0.000,0.000,8.556,0.000,0.000,0.000,82.778,80.000,85.000,2.973,2.560,3.490,17.889,17.600,18.100,2.789,1.900,3.500,1018.833,1018.600,1019.100,0.000,9.000,9.000,0.746,0.350,1.000,0.746,0.010,0.000,0.010,0.000,83.444,17.500,0.500,,,0.000,,0.088,10.190,10.540,0.967
2023-01-20,9.000,0.000,0.000,10.000,0.000,0.000,0.000,86.778,82.000,90.000,2.194,1.630,3.060,15.122,14.900,15.300,3.067,2.600,3.400,1020.122,1018.600,1021.100,-19.600,9.000,9.000,0.989,0.950,1.000,0.966,0.524,0.000,0.524,0.270,84.556,14.967,0.800,,,0.000,,0.033,10.520,10.520,1.000
2023-01-21,9.000,0.000,0.000,3.667,0.000,0.000,0.000,88.778,81.000,97.000,1.924,0.480,3.350,17.822,16.200,19.500,1.733,0.400,3.000,1013.544,1012.500,1014.500,0.000,9.000,9.000,0.138,0.090,0.210,0.119,0.046,0.000,0.046,0.000,95.000,16.711,0.100,,,0.000,,0.005,10.510,10.510,1.000
2023-01-22,9.000,0.000,0.000,8.111,0.000,0.000,0.000,89.333,87.000,91.000,1.778,1.480,2.190,17.644,17.300,18.200,1.156,0.500,2.100,1012.878,1012.400,1013.100,-9.800,9.000,9.000,0.510,0.290,0.910,0.456,0.350,0.007,0.355,0.210,93.000,17.178,0.300,,,0.000,,0.007,10.500,10.500,1.000
2023-01-23,9.000,0.000,0.000,10.000,0.000,0.000,0.000,82.222,78.000,86.000,3.052,2.380,3.790,16.733,14.400,18.000,2.200,1.000,3.400,1015.967,1013.600,1019.400,-19.600,9.000,9.000,1.000,1.000,1.000,1.000,0.499,0.000,0.499,0.210,89.111,16.033,5.900,,,0.000,,0.040,10.190,10.490,0.972
2023-01-24,9.000,0.000,0.000,10.000,0.000,0.000,0.000,59.444,55.000,72.000,7.558,4.770,8.610,9.167,8.600,9.600,2.622,2.300,3.000,1027.056,1026.000,1027.500,-19.600,9.000,9.000,0.932,0.800,0.990,0.932,0.051,0.000,0.051,0.000,74.778,7.589,1.300,,,0.000,,0.100,9.060,10.470,0.865
2023-01-25,9.000,0.000,0.000,9.667,0.000,0.000,0.000,71.667,68.000,74.000,5.030,4.520,5.830,13.511,12.800,14.300,2.000,0.700,3.100,1017.311,1016.800,1018.400,0.000,9.000,9.000,0.327,0.200,0.550,0.260,0.191,0.016,0.204,0.060,78.333,11.978,0.000,,,0.000,,0.181,8.000,10.460,0.764
2023-01-26,9.000,0.000,0.000,9.778,0.000,0.000,0.000,79.000,77.000,83.000,3.637,2.860,4.040,15.556,14.700,16.100,1.056,0.900,1.400,1017.544,1017.000,1018.000,0.000,9.000,9.000,0.530,0.260,0.870,0.441,0.147,0.130,0.260,0.130,87.111,14.456,0.000,,,0.000,,0.275,6.980,10.450,0.669
2023-01-27,9.000,0.000,0.000,9.889,0.000,0.000,0.000,51.444,48.000,55.000,9.592,8.620,10.550,10.189,9.800,10.500,2.378,1.700,2.900,1023.500,1022.600,1024.200,0.000,9.000,9.000,0.834,0.760,0.940,0.819,0.078,0.060,0.130,0.030,63.111,8.811,0.400,,,0.000,,0.378,6.010,10.430,0.576
2023-01-28,9.000,0.000,0.000,9.889,0.000,0.000,0.000,59.778,56.000,63.000,7.533,6.740,8.470,10.956,9.900,11.500,1.989,1.500,2.600,1021.378,1020.100,1022.700,0.000,9.000,9.000,0.823,0.670,0.920,0.821,0.017,0.008,0.024,0.000,67.444,9.411,0.000,,,0.000,,0.482,5.040,10.420,0.484
2023-01-29,0.000,0.000,0.000,,,,,74.000,67.000,81.000,4.539,3.160,5.960,12.444,11.800,13.600,1.956,1.500,2.700,1020.967,1020.600,1021.500,0.000,9.000,9.000,0.082,0.030,0.130,0.082,0.000,0.000,0.000,0.000,81.444,9.867,0.000,,,0.000,,0.584,4.080,10.400,0.393
2023-01-30,9.000,0.000,0.000,4.333,0.000,0.000,0.000,65.889,60.000,77.000,6.314,3.910,7.690,13.944,12.000,14.700,2.778,0.300,3.700,1017.111,1015.700,1018.700,0.000,9.000,9.000,0.026,0.010,0.040,0.026,0.000,0.000,0.000,0.000,78.778,12.200,0.000,,,0.000,,0.680,3.130,10.390,0.301
2023-01-31,9.000,0.000,0.000,4.444,0.000,0.000,0.000,79.556,64.000,89.000,3.573,1.770,6.840,14.533,12.800,16.500,1.078,0.300,1.600,1013.489,1013.000,1014.000,0.000,9.000,9.000,0.803,0.130,1.000,0.803,0.003,0.000,0.003,0.000,89.000,14.078,0.000,,,0.000,,0.766,2.180,10.370,0.210
2023-02-01,0.000,0.000,0.000,,,,,74.778,64.000,83.000,4.598,2.940,6.980,18.444,17.900,19.300,1.278,0.600,2.400,1014.944,1014.100,1015.700,0.000,9.000,9.000,0.409,0.090,1.000,0.400,0.092,0.000,0.092,0.030,86.556,17.356,0.100,,,0.000,,0.842,1.270,10.360,0.122
2023-02-02,0.000,0.000,0.000,,,,,82.111,78.000,86.000,3.078,2.350,3.870,16.667,16.300,17.000,3.178,2.600,3.800,1016.656,1015.400,1017.700,0.000,9.000,9.000,0.999,0.990,1.000,0.999,0.008,0.000,0.008,0.000,85.667,16.211,0.000,,,0.000,,0.904,0.410,10.340,0.039
2023-02-03,0.000,0.000,0.000,,,,,85.667,83.000,89.000,2.420,1.820,2.910,16.789,16.600,17.000,3.200,2.500,3.700,1015.789,1014.800,1016.600,0.000,9.000,9.000,0.774,0.400,1.000,0.698,0.060,0.131,0.179,0.020,88.889,16.411,0.000,,,0.000,,0.951,0.000,10.330,0.000
2023-02-04,0.000,0.000,0.000,,,,,93.333,91.000,96.000,1.093,0.650,1.490,17.700,17.400,18.400,3.100,2.400,4.100,1014.156,1012.300,1015.200,-57.800,9.000,9.000,1.000,1.000,1.000,0.997,0.943,0.851,0.984,0.941,96.556,17.478,3.700,,,0.000,,0.983,0.000,10.310,0.000
2023-02-05,0.000,0.000,0.000,,,,,97.333,96.000,98.000,0.426,0.320,0.640,16.456,15.300,17.300,1.467,1.000,2.300,1012.867,1012.600,1013.100,-18.400,9.000,9.000,1.000,1.000,1.000,1.000,0.862,0.307,0.899,0.774,98.778,17.911,13.900,,,0.000,,0.997,0.000,10.290,0.000
