night,sat_n_valid,sat_n_clear,sat_longest_clear_run,sat_mean_cloud,sat_def_A,sat_def_B,sat_def_C,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,manual_cloud_2021_mean,manual_cloud_2021_max,manual_cloud_2021_n,evening_clear
2008-01-01,0,0,0,,,,,94.111,84.000,100.000,0.859,0.000,2.410,1.256,0.700,1.900,1.400,0.200,2.000,764.456,764.100,764.900,0.000,9,9,0.477,0.350,0.620,0.472,0.034,0.000,0.034,0.010,79.000,-1.311,0.000,5.000,10.000,2.000,False
2008-01-02,0,0,0,,,,,89.667,87.000,92.000,1.510,1.150,1.920,1.022,0.500,1.400,1.333,0.800,1.700,765.244,764.400,765.900,0.000,9,9,0.667,0.640,0.690,0.659,0.047,0.000,0.047,0.030,78.444,-0.167,0.400,0.000,0.000,2.000,True
2008-01-03,0,0,0,,,,,93.111,83.000,98.000,1.004,0.280,2.570,1.178,0.400,2.000,0.567,0.200,1.100,764.489,763.800,765.100,0.000,9,9,0.757,0.680,0.870,0.737,0.419,0.000,0.419,0.330,88.111,2.144,2.700,0.000,0.000,2.000,True
2008-01-04,0,0,0,,,,,94.444,84.000,100.000,0.809,0.000,2.390,1.544,0.000,4.200,0.944,0.100,2.300,764.833,763.900,765.400,0.000,9,9,0.364,0.090,0.620,0.359,0.017,0.000,0.017,0.000,88.778,2.467,0.000,10.000,10.000,2.000,False
2008-01-05,0,0,0,,,,,69.333,52.000,87.000,5.402,1.970,9.230,6.567,4.200,8.700,1.500,0.500,3.000,765.811,765.200,766.600,0.000,9,9,0.284,0.110,0.400,0.277,0.012,0.000,0.012,0.000,83.556,2.722,0.000,0.000,0.000,2.000,True
2008-01-06,0,0,0,,,,,97.778,95.000,100.000,0.333,0.000,0.750,8.278,7.800,8.500,0.889,0.300,2.000,768.033,766.900,768.600,0.000,9,9,0.169,0.080,0.320,0.097,0.044,0.064,0.106,0.040,73.111,5.700,0.000,7.000,10.000,2.000,False
2008-01-07,0,0,0,,,,,90.000,84.000,100.000,1.562,0.000,2.570,7.744,7.000,9.300,1.178,0.400,2.200,766.556,765.200,767.400,0.000,9,9,0.269,0.170,0.350,0.259,0.027,0.000,0.027,0.000,84.444,6.756,0.000,1.000,2.000,2.000,True
2008-01-08,0,0,0,,,,,95.111,91.000,100.000,0.737,0.000,1.370,7.078,6.300,7.900,1.133,0.200,2.500,765.367,764.300,766.000,0.000,9,9,0.427,0.170,0.650,0.409,0.126,0.000,0.126,0.060,87.889,6.189,0.000,9.500,10.000,2.000,False
2008-01-09,0,0,0,,,,,96.778,93.000,100.000,0.478,0.000,1.060,7.122,6.300,8.700,0.956,0.100,2.000,765.511,765.100,766.100,0.000,9,9,0.532,0.400,0.750,0.406,0.236,0.056,0.274,0.139,83.667,8.656,0.000,5.000,10.000,2.000,False
2008-01-10,0,0,0,,,,,43.444,32.000,52.000,12.167,9.350,16.500,11.211,9.100,14.300,2.233,1.000,3.300,765.056,764.700,765.600,0.000,9,9,0.461,0.230,0.700,0.457,0.009,0.000,0.009,0.000,88.556,7.189,0.000,0.000,0.000,2.000,True
