night,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,moon_illum,dark_hours,night_hours,dark_frac
2008-01-01,,,,,,,-2.600,-3.000,-2.200,7.378,6.500,9.200,,,,0.000,9,0,0.588,0.300,1.000,0.582,0.081,0.000,0.081,0.050,90.000,-4.144,0.500,0.395,6.470,10.640,0.608
2008-01-02,,,,,,,-3.411,-3.600,-3.000,4.578,3.200,5.400,,,,0.000,9,0,0.669,0.380,1.000,0.664,0.068,0.000,0.068,0.050,85.333,-2.744,0.000,0.306,7.340,10.640,0.690
2008-01-03,,,,,,,3.656,2.800,5.000,1.744,0.000,3.000,,,,0.000,9,0,0.862,0.770,0.960,0.857,0.070,0.000,0.070,0.040,90.556,-0.756,0.000,0.223,8.220,10.630,0.773
2008-01-04,,,,,,,7.022,6.000,8.700,3.089,1.500,4.400,,,,0.000,9,0,0.522,0.260,1.000,0.518,0.019,0.000,0.019,0.010,95.111,-0.011,0.000,0.150,9.130,10.630,0.859
2008-01-05,,,,,,,8.489,7.600,9.400,3.711,2.600,4.900,,,,0.000,9,0,0.226,0.140,0.290,0.222,0.049,0.000,0.049,0.020,81.444,1.800,0.000,0.089,10.040,10.620,0.945
2008-01-06,,,,,,,2.433,1.500,3.700,4.022,1.700,5.600,,,,0.000,9,0,0.148,0.050,0.220,0.126,0.008,0.017,0.024,0.000,67.333,5.100,0.000,0.042,10.610,10.610,1.000
2008-01-07,,,,,,,7.000,6.400,7.700,3.533,1.900,4.700,,,,0.000,9,0,0.179,0.170,0.210,0.164,0.079,0.006,0.084,0.050,84.000,6.244,0.600,0.012,10.610,10.610,1.000
2008-01-08,,,,,,,3.489,1.600,4.800,1.533,0.100,2.600,,,,0.000,9,0,0.246,0.190,0.320,0.236,0.072,0.000,0.072,0.020,85.778,5.178,0.100,0.001,10.600,10.600,1.000
2008-01-09,,,,,,,4.722,3.600,6.100,3.889,0.400,5.500,,,,0.000,9,0,0.513,0.280,1.000,0.474,0.197,0.000,0.197,0.120,85.556,6.789,0.400,0.010,10.600,10.600,1.000
2008-01-10,,,,,,,7.389,6.900,8.000,6.122,4.500,7.400,,,,0.000,9,0,0.267,0.120,0.420,0.259,0.014,0.000,0.014,0.000,91.667,5.967,0.000,0.040,10.240,10.590,0.967
2008-01-11,,,,,,,8.400,8.100,8.600,7.033,6.300,7.600,,,,0.000,9,0,0.178,0.140,0.310,0.158,0.008,0.018,0.025,0.000,66.333,8.078,0.000,0.091,9.270,10.580,0.876
2008-01-12,,,,,,,6.925,5.600,8.100,4.322,2.900,5.600,,,,0.000,9,0,0.978,0.880,1.000,0.438,0.134,0.957,0.961,0.823,87.444,5.978,1.500,0.161,8.310,10.570,0.786
2008-01-13,,,,,,,6.989,6.400,7.300,5.000,3.700,5.700,,,,6.500,9,0,0.998,0.980,1.000,0.951,0.820,0.598,0.930,0.784,98.111,1.856,6.300,0.249,7.360,10.560,0.697
2008-01-14,,,,,,,6.300,6.000,6.500,4.456,2.400,6.500,,,,1.500,9,0,0.960,0.950,0.990,0.932,0.488,0.057,0.512,0.300,96.222,1.344,2.100,0.349,6.390,10.550,0.605
2008-01-15,,,,,,,5.911,5.800,6.100,3.922,2.300,5.400,,,,0.500,9,0,0.958,0.930,0.980,0.944,0.392,0.002,0.393,0.160,96.333,2.267,0.400,0.459,5.380,10.550,0.510
