night,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,moon_illum,dark_hours,night_hours,dark_frac
2008-02-01,,,,,,,1.522,1.100,2.000,3.500,2.600,4.500,,,,1.000,9.000,0.000,0.671,0.330,0.940,0.661,0.060,0.000,0.060,0.030,98.444,1.500,0.000,0.295,7.590,10.340,0.734
2008-02-02,,,,,,,2.175,1.200,2.800,4.025,1.700,7.300,,,,13.000,9.000,0.000,0.982,0.900,1.000,0.974,0.712,0.000,0.712,0.380,93.556,1.633,6.400,0.212,8.490,10.320,0.822
2008-02-03,,,,,,,-3.522,-5.200,-0.900,5.156,4.200,6.600,,,,0.000,9.000,0.000,1.000,1.000,1.000,0.999,0.363,0.000,0.363,0.230,96.111,-1.844,3.000,0.139,9.340,10.310,0.907
2008-02-04,,,,,,,0.367,0.100,0.800,1.311,0.000,5.900,,,,0.500,9.000,0.000,0.970,0.840,1.000,0.950,0.689,0.000,0.689,0.420,98.444,-1.233,6.700,0.077,10.140,10.290,0.985
2008-02-05,,,,,,,-1.078,-2.100,0.000,5.722,4.900,6.900,,,,0.000,9.000,0.000,0.667,0.060,0.840,0.644,0.127,0.000,0.127,0.020,97.667,-2.622,0.200,0.032,10.280,10.280,1.000
2008-02-06,,,,,,,-2.844,-3.300,-2.300,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.827,0.570,1.000,0.811,0.274,0.059,0.320,0.219,97.889,-3.622,3.700,0.006,10.260,10.260,1.000
2008-02-07,,,,,,,-3.933,-4.300,-3.600,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.987,0.970,1.000,0.973,0.449,0.000,0.449,0.370,96.111,-4.678,3.900,0.001,10.240,10.240,1.000
2008-02-08,,,,,,,-4.133,-4.600,-3.200,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.962,0.940,0.980,0.941,0.280,0.000,0.280,0.180,97.667,-4.556,0.600,0.020,10.230,10.230,1.000
2008-02-09,,,,,,,-6.237,-7.100,-6.000,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.996,0.970,1.000,0.992,0.146,0.000,0.146,0.070,100.000,-6.856,0.300,0.063,9.390,10.210,0.920
2008-02-10,,,,,,,-1.233,-1.800,-0.500,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.988,0.960,1.000,0.984,0.174,0.000,0.174,0.130,99.222,-3.600,1.600,0.128,8.390,10.190,0.824
2008-02-11,,,,,,,-0.980,-1.500,-0.700,0.000,0.000,0.000,,,,0.000,9.000,0.000,1.000,1.000,1.000,1.000,0.411,0.000,0.411,0.350,99.111,-2.889,2.700,0.212,7.370,10.170,0.725
2008-02-12,,,,,,,-3.212,-3.900,-2.900,0.000,0.000,0.000,,,,0.000,9.000,0.000,1.000,1.000,1.000,1.000,0.168,0.000,0.168,0.110,99.333,-6.356,2.300,0.313,6.320,10.160,0.622
2008-02-13,,,,,,,-5.450,-5.900,-4.900,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.938,0.680,1.000,0.936,0.160,0.002,0.162,0.120,97.333,-5.722,1.400,0.423,5.220,10.140,0.515
2008-02-14,,,,,,,-3.871,-4.200,-3.500,0.000,0.000,0.000,,,,0.000,9.000,0.000,1.000,1.000,1.000,1.000,0.137,0.000,0.137,0.100,97.444,-4.767,1.900,0.537,4.100,10.120,0.405
2008-02-15,,,,,,,-5.783,-7.100,-4.900,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.851,0.340,1.000,0.849,0.089,0.000,0.089,0.080,91.556,-5.056,0.100,0.649,2.990,10.100,0.296
2008-02-16,,,,,,,-4.562,-4.800,-4.100,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.584,0.140,1.000,0.580,0.070,0.000,0.070,0.020,91.111,-4.267,0.200,0.753,1.940,10.080,0.193
2008-02-17,,,,,,,-2.600,-3.000,-2.000,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.279,0.190,0.460,0.268,0.077,0.000,0.077,0.010,84.667,-3.567,0.500,0.844,1.000,10.060,0.099
2008-02-18,,,,,,,-2.275,-3.300,-1.700,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.669,0.400,1.000,0.658,0.188,0.000,0.188,0.150,91.111,-2.322,1.000,0.916,0.180,10.050,0.017
2008-02-19,,,,,,,-3.340,-3.900,-2.900,7.200,5.800,9.000,,,,0.000,9.000,0.000,0.280,0.110,0.400,0.273,0.008,0.000,0.008,0.000,92.000,-2.533,0.000,0.967,0.000,10.030,0.000
2008-02-20,,,,,,,-2.983,-3.700,-1.700,0.833,0.200,2.100,,,,0.500,9.000,0.000,0.211,0.170,0.250,0.206,0.069,0.000,0.069,0.040,82.111,-1.711,0.000,0.995,0.000,10.010,0.000
2008-02-21,,,,,,,0.033,-0.300,0.700,1.433,0.700,2.300,,,,0.500,9.000,0.000,0.328,0.140,0.670,0.122,0.281,0.000,0.281,0.040,72.556,-0.367,0.000,0.999,0.000,9.990,0.000
2008-02-22,,,,,,,-0.038,-0.200,0.200,3.000,0.000,4.600,,,,1.500,9.000,0.000,0.900,0.720,0.990,0.583,0.859,0.044,0.866,0.718,90.000,1.611,4.900,0.981,0.000,9.970,0.000
2008-02-23,,,,,,,-0.700,-0.900,-0.500,8.950,7.600,10.300,,,,0.000,9.000,0.000,0.988,0.950,1.000,0.910,0.917,0.172,0.928,0.861,97.222,-1.200,8.200,0.943,0.740,9.950,0.074
2008-02-24,,,,,,,-1.511,-1.900,-0.800,5.600,0.400,8.900,,,,0.000,9.000,0.000,0.931,0.660,1.000,0.880,0.631,0.000,0.631,0.510,91.000,-0.856,0.400,0.888,1.610,9.930,0.162
2008-02-25,,,,,,,0.844,0.600,1.300,7.344,5.100,9.000,,,,6.500,9.000,0.000,0.972,0.920,1.000,0.963,0.310,0.000,0.310,0.170,96.333,-0.000,1.000,0.819,2.490,9.900,0.251
2008-02-26,,,,,,,-0.550,-0.800,-0.400,6.300,5.600,7.300,,,,0.000,9.000,0.000,0.389,0.230,0.530,0.291,0.171,0.092,0.254,0.100,84.222,-1.356,1.900,0.740,3.370,9.880,0.341
2008-02-27,,,,,,,-2.856,-3.800,-1.300,12.467,5.200,18.300,,,,0.000,9.000,0.000,0.764,0.330,1.000,0.761,0.058,0.000,0.058,0.000,87.778,-2.478,0.100,0.653,4.270,9.860,0.433
2008-02-28,,,,,,,-2.256,-2.800,-1.900,6.667,3.400,11.700,,,,0.000,9.000,0.000,0.301,0.120,0.830,0.296,0.043,0.000,0.043,0.020,81.111,-2.111,0.000,0.561,5.180,9.840,0.526
2008-02-29,,,,,,,-1.356,-2.000,-0.700,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.994,0.970,1.000,0.969,0.820,0.062,0.830,0.712,94.222,-1.556,5.400,0.466,6.080,9.820,0.619
2008-03-01,,,,,,,-3.650,-4.500,-3.100,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.710,0.300,0.870,0.696,0.054,0.000,0.054,0.010,88.111,-0.656,0.000,0.372,6.950,9.800,0.709
2008-03-02,,,,,,,-3.989,-6.300,-2.600,0.000,0.000,0.000,,,,0.000,9.000,0.000,0.128,0.040,0.170,0.119,0.033,0.000,0.033,0.000,76.444,-1.489,0.400,0.281,7.760,9.780,0.794
