night,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,moon_illum,dark_hours,night_hours,dark_frac
2017-12-01,100.000,100.000,100.000,0.000,0.000,0.000,5.033,4.500,5.500,3.556,1.800,5.800,685.900,685.000,686.500,0.000,9.000,9.000,0.462,0.380,0.840,0.429,0.206,0.000,0.206,0.140,90.556,1.689,0.000,0.927,0.600,10.580,0.057
2017-12-02,97.556,92.000,100.000,0.358,0.000,1.180,4.389,3.700,4.700,2.078,0.800,3.500,685.378,684.500,685.900,0.000,9.000,9.000,0.542,0.200,0.870,0.502,0.107,0.000,0.107,0.010,92.000,2.067,0.100,0.976,0.000,10.590,0.000
2017-12-03,100.000,100.000,100.000,0.000,0.000,0.000,2.800,0.700,3.700,4.889,3.800,5.900,683.200,682.200,684.000,0.000,9.000,9.000,0.409,0.210,0.610,0.396,0.111,0.000,0.111,0.040,93.889,2.944,0.000,0.998,0.000,10.600,0.000
2017-12-04,86.667,80.000,99.000,1.731,0.120,2.650,-1.644,-2.600,-1.100,4.756,3.900,5.400,680.711,680.200,681.100,0.000,9.000,9.000,0.418,0.220,0.640,0.387,0.207,0.000,0.207,0.080,77.111,-0.189,0.000,0.989,0.000,10.600,0.000
2017-12-05,99.556,98.000,100.000,0.053,0.000,0.240,-3.167,-4.300,-2.300,2.267,0.700,5.200,679.622,678.600,680.700,0.000,9.000,9.000,0.879,0.510,1.000,0.837,0.316,0.106,0.387,0.220,90.889,-2.433,1.400,0.952,0.530,10.610,0.050
2017-12-06,100.000,100.000,100.000,0.000,0.000,0.000,0.322,0.000,0.500,4.838,3.900,5.500,680.800,680.500,681.100,2.500,9.000,9.000,0.992,0.970,1.000,0.987,0.719,0.000,0.719,0.620,94.778,-1.544,3.000,0.887,1.590,10.620,0.150
2017-12-07,98.556,91.000,100.000,0.209,0.000,1.310,1.356,1.100,1.700,2.729,1.500,3.500,681.678,680.900,682.000,0.000,9.000,9.000,0.921,0.650,0.980,0.858,0.728,0.000,0.728,0.530,92.111,-0.989,2.400,0.802,2.650,10.620,0.250
2017-12-08,100.000,100.000,100.000,0.000,0.000,0.000,0.200,-0.300,0.900,4.975,3.700,6.200,679.044,678.500,679.700,1.500,9.000,9.000,0.999,0.990,1.000,0.971,0.659,0.826,0.938,0.861,98.667,-4.878,3.100,0.703,3.690,10.630,0.347
2017-12-09,95.000,94.000,96.000,0.604,0.480,0.730,-3.967,-4.900,-2.900,,,,679.711,677.200,680.800,0.000,9.000,9.000,0.932,0.830,1.000,0.926,0.042,0.056,0.095,0.000,96.889,-3.622,0.000,0.597,4.680,10.630,0.440
2017-12-10,55.000,19.000,95.000,10.100,0.620,21.470,1.000,-0.900,4.200,5.111,1.600,8.100,682.111,681.300,682.800,0.000,9.000,9.000,0.457,0.300,0.790,0.248,0.073,0.261,0.318,0.050,91.000,0.267,0.900,0.490,5.620,10.640,0.529
2017-12-11,100.000,100.000,100.000,0.000,0.000,0.000,1.489,1.000,2.100,5.856,4.400,7.000,681.444,680.800,681.900,0.000,9.000,9.000,0.944,0.580,1.000,0.940,0.349,0.021,0.361,0.180,91.444,-0.978,0.300,0.386,6.530,10.640,0.614
2017-12-12,100.000,100.000,100.000,0.000,0.000,0.000,1.833,1.000,2.500,3.856,2.200,5.200,682.400,681.400,683.300,0.500,9.000,9.000,0.946,0.860,1.000,0.923,0.608,0.000,0.608,0.470,96.111,-0.933,0.200,0.289,7.410,10.650,0.696
2017-12-13,96.778,90.000,100.000,0.466,0.000,1.460,0.944,0.500,1.600,3.189,0.600,5.200,682.489,682.100,683.200,1.000,9.000,9.000,0.426,0.260,0.530,0.376,0.272,0.000,0.272,0.200,87.222,-1.233,0.300,0.204,8.280,10.650,0.778
2017-12-14,80.111,66.000,100.000,3.194,0.000,5.720,1.644,0.800,2.500,5.667,3.300,9.600,683.033,682.500,683.500,0.000,9.000,9.000,0.752,0.310,1.000,0.742,0.134,0.000,0.134,0.070,94.667,0.644,0.000,0.131,9.140,10.650,0.858
2017-12-15,73.889,61.000,95.000,4.342,0.710,6.820,1.833,0.000,3.400,5.367,3.500,7.800,683.678,682.600,684.200,0.000,9.000,9.000,0.871,0.690,1.000,0.574,0.050,0.540,0.556,0.020,92.111,1.433,0.200,0.073,9.990,10.650,0.938
2017-12-16,100.000,100.000,100.000,0.000,0.000,0.000,0.578,-0.400,1.300,4.867,3.800,7.200,682.722,681.900,683.400,0.000,9.000,9.000,0.992,0.980,1.000,0.961,0.102,0.614,0.652,0.236,89.778,-3.967,0.000,0.032,10.660,10.660,1.000
2017-12-17,100.000,100.000,100.000,0.000,0.000,0.000,-1.044,-1.700,-0.200,6.200,5.400,7.300,681.944,681.300,682.400,0.000,9.000,9.000,0.972,0.860,1.000,0.962,0.114,0.000,0.114,0.030,94.444,-3.967,0.100,0.008,10.660,10.660,1.000
2017-12-18,88.667,80.000,97.000,1.706,0.430,3.130,2.933,2.400,3.600,2.967,1.800,3.900,684.422,683.900,684.800,0.000,9.000,9.000,0.607,0.480,0.800,0.462,0.287,0.154,0.393,0.160,90.556,-2.644,0.400,0.001,10.660,10.660,1.000
2017-12-19,100.000,100.000,100.000,0.000,0.000,0.000,2.667,2.200,2.900,5.167,4.000,6.800,685.167,684.700,685.600,0.500,9.000,9.000,0.896,0.680,0.970,0.872,0.526,0.016,0.534,0.460,91.222,-2.711,0.100,0.013,10.660,10.660,1.000
2017-12-20,12.000,8.000,23.000,27.452,19.130,31.520,3.756,2.800,4.500,2.589,0.500,3.900,686.722,686.000,687.100,0.000,9.000,9.000,0.180,0.110,0.300,0.172,0.013,0.000,0.013,0.000,82.667,-4.378,0.000,0.042,10.270,10.660,0.964
