night,rh_mean,rh_min,rh_max,dpd_mean,dpd_min,dpd_max,t_air_mean,t_air_min,t_air_max,wind_mean,wind_min,wind_max,pres_mean,pres_min,pres_max,precip_night,precip_known_hours,n_hours_rh,e_tcc_mean,e_tcc_min,e_tcc_max,e_lcc_mean,e_mcc_mean,e_hcc_mean,e_mh_mean,e_mh_min,e_rh_mean,e_t2m_mean,e_precip_night,moon_illum,dark_hours,night_hours,dark_frac
2008-01-01,,,,,,,-1.400,-1.800,-0.800,2.122,0.800,3.500,726.744,726.200,727.200,0.000,9,0,0.588,0.300,1.000,0.582,0.081,0.000,0.081,0.050,89.889,-6.367,0.500,0.395,6.470,10.640,0.608
2008-01-02,,,,,,,-1.967,-2.400,-1.300,0.744,0.100,1.400,728.011,727.200,728.700,0.000,9,0,0.669,0.380,1.000,0.664,0.068,0.000,0.068,0.050,84.889,-4.989,0.000,0.306,7.340,10.640,0.690
2008-01-03,,,,,,,-0.822,-2.700,3.800,3.511,0.100,5.900,727.689,727.200,728.200,0.000,9,0,0.862,0.770,0.960,0.857,0.070,0.000,0.070,0.040,90.111,-3.000,0.000,0.223,8.220,10.630,0.773
2008-01-04,,,,,,,6.889,4.200,8.100,1.333,0.100,2.000,728.344,727.900,728.700,0.000,9,0,0.522,0.260,1.000,0.518,0.019,0.000,0.019,0.010,95.111,-2.256,0.000,0.150,9.130,10.630,0.859
2008-01-05,,,,,,,8.944,7.300,10.000,1.556,1.100,2.400,729.689,729.400,730.000,0.000,9,0,0.226,0.140,0.290,0.222,0.049,0.000,0.049,0.020,80.778,-0.411,0.000,0.089,10.040,10.620,0.945
2008-01-06,,,,,,,2.933,2.400,3.600,5.178,3.800,6.200,731.089,730.200,731.700,0.000,9,0,0.148,0.050,0.220,0.126,0.008,0.017,0.024,0.000,66.778,2.833,0.000,0.042,10.610,10.610,1.000
2008-01-07,,,,,,,8.444,6.900,9.300,0.900,0.000,3.600,730.578,729.500,731.400,0.000,9,0,0.179,0.170,0.210,0.164,0.079,0.006,0.084,0.050,84.000,4.000,0.600,0.012,10.610,10.610,1.000
2008-01-08,,,,,,,3.200,2.400,4.300,2.933,0.700,5.200,729.067,728.400,729.500,0.000,9,0,0.246,0.190,0.320,0.236,0.072,0.000,0.072,0.020,85.778,2.944,0.100,0.001,10.600,10.600,1.000
2008-01-09,,,,,,,4.844,3.900,6.600,3.233,0.100,6.000,729.511,728.900,730.000,0.000,9,0,0.513,0.280,1.000,0.474,0.197,0.000,0.197,0.120,85.222,4.522,0.400,0.010,10.600,10.600,1.000
2008-01-10,,,,,,,9.756,8.300,10.400,4.311,2.000,5.700,729.300,729.000,729.500,0.000,9,0,0.267,0.120,0.420,0.259,0.014,0.000,0.014,0.000,91.444,3.733,0.000,0.040,10.240,10.590,0.967
2008-01-11,,,,,,,11.611,11.100,12.400,6.889,5.400,7.800,729.767,729.400,730.000,0.000,9,0,0.178,0.140,0.310,0.158,0.008,0.018,0.025,0.000,65.889,5.822,0.000,0.091,9.270,10.580,0.876
2008-01-12,,,,,,,5.989,4.900,6.900,4.878,0.200,8.200,729.889,729.000,730.500,0.000,9,0,0.978,0.880,1.000,0.438,0.134,0.957,0.961,0.823,87.000,3.711,1.500,0.161,8.310,10.570,0.786
2008-01-13,,,,,,,7.778,7.300,8.100,0.800,0.000,2.900,729.711,729.000,730.200,14.000,9,0,0.998,0.980,1.000,0.951,0.820,0.598,0.930,0.784,98.000,-0.411,6.300,0.249,7.360,10.560,0.697
2008-01-14,,,,,,,5.467,5.100,6.100,3.944,0.100,5.800,729.511,729.200,730.000,3.000,9,0,0.960,0.950,0.990,0.932,0.488,0.057,0.512,0.300,96.000,-0.922,2.100,0.349,6.390,10.550,0.605
2008-01-15,,,,,,,5.633,5.200,6.800,3.067,0.300,4.700,731.533,730.900,732.000,1.000,9,0,0.958,0.930,0.980,0.944,0.392,0.002,0.393,0.160,96.222,-0.011,0.400,0.459,5.380,10.550,0.510
2008-01-16,,,,,,,4.044,3.700,4.500,0.722,0.000,3.800,730.900,729.500,731.700,0.500,9,0,0.983,0.970,1.000,0.957,0.646,0.000,0.646,0.530,95.889,-2.622,0.600,0.572,4.320,10.540,0.410
