month,stn_id,n_hours,pres,slp,t_air,td_obs,rh,wind,wind_dir,gust,gust_dir,precip,precip_dur,sunshine,solar,vis_manual,vis_auto,uv,cloud_manual,cloud_sat,td_magnus,dpd,rain_3h,rain_6h,rh_stuck,sky_obscured,cloud_manual_eff
2008-01,467550,743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.584,1.0,0.334,0.0,1.0,0.334,0.0,1.0,1.0,0.997,0.993,1.0,1.0,0.334
2008-02,467550,696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.332,0.0,1.0,0.332,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2008-03,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.241,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-04,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.332,0.0,1.0,0.258,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2008-05,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.254,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-06,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.999,0.188,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-07,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.222,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-08,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.876,0.234,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-09,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.994,0.161,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2008-10,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.332,0.0,1.0,0.294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2008-11,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.332,0.0,0.983,0.243,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2008-12,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.332,0.0,0.999,0.263,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2009-01,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.305,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-02,467550,672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-03,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.976,0.203,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-04,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.132,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-05,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.272,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-06,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.236,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-07,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.988,0.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-08,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.228,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-09,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.222,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332
2009-10,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-11,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.996,0.289,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2009-12,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.991,0.216,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-01,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.224,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-02,467550,672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.996,0.171,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-03,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.241,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-04,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.176,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-05,467550,744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,1.0,0.173,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
2010-06,467550,720,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583,1.0,0.333,0.0,0.999,0.171,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333
