stn_id,year,n,rh_max,frac_at_max,frac_ge_98,frac_ge_95,n_distinct,resolution,rh_median
467550,2008,8783,100.0,0.255,0.314,0.365,88,1.0,86.0
467550,2009,8760,100.0,0.178,0.21,0.275,89,1.0,74.0
467550,2010,8760,100.0,0.153,0.229,0.314,88,1.0,81.0
467550,2011,8760,100.0,0.093,0.16,0.262,87,1.0,80.0
467550,2012,8784,100.0,0.156,0.245,0.364,89,1.0,87.0
467550,2013,8760,100.0,0.116,0.168,0.262,88,1.0,82.0
467550,2014,8760,100.0,0.139,0.184,0.264,89,1.0,79.0
467550,2015,8760,100.0,0.093,0.138,0.24,89,1.0,80.0
467550,2016,8784,100.0,0.084,0.136,0.207,88,1.0,83.0
467550,2017,8640,100.0,0.074,0.15,0.279,95,1.0,81.0
467550,2018,8760,100.0,0.329,0.362,0.409,94,1.0,88.0
467550,2019,8760,100.0,0.355,0.368,0.393,94,1.0,83.0
467550,2020,8784,100.0,0.348,0.369,0.405,94,1.0,87.0
467550,2021,8496,100.0,0.127,0.157,0.26,93,1.0,78.0
467550,2022,8760,100.0,0.004,0.016,0.05,90,1.0,75.0
467550,2023,8760,100.0,0.511,0.532,0.562,91,1.0,100.0
467550,2024,8612,100.0,0.034,0.054,0.082,85,1.0,69.0
467550,2025,8753,100.0,0.08,0.105,0.129,95,1.0,77.0
467550,2026,5388,100.0,0.321,0.399,0.44,95,1.0,88.0
C0H9C0,2011,1463,99.0,0.485,0.514,0.57,100,1.0,98.0
C0H9C0,2012,8499,100.0,0.239,0.537,0.596,101,1.0,99.0
C0H9C0,2013,8582,100.0,0.453,0.5,0.538,99,1.0,98.0
C0H9C0,2014,8727,100.0,0.374,0.458,0.503,101,1.0,95.0
C0H9C0,2015,8302,100.0,0.238,0.474,0.513,100,1.0,95.0
C0H9C0,2016,8782,99.0,0.546,0.562,0.6,100,1.0,99.0
C0H9C0,2017,8356,99.0,0.474,0.491,0.525,100,1.0,97.0
C0H9C0,2018,8536,100.0,0.3,0.495,0.525,101,1.0,97.0
C0H9C0,2019,3664,100.0,0.262,0.325,0.372,101,1.0,83.0
C0H9C0,2020,8364,100.0,0.231,0.342,0.449,101,1.0,91.0
C0H9C0,2021,8672,100.0,0.434,0.477,0.508,101,1.0,95.0
C0H9C0,2022,8400,100.0,0.535,0.56,0.583,101,1.0,100.0
C0H9C0,2023,8554,100.0,0.477,0.527,0.593,101,1.0,99.0
C0H9C0,2024,8703,100.0,0.446,0.523,0.636,101,1.0,98.0
C0H9C0,2025,8361,100.0,0.41,0.512,0.611,100,1.0,98.0
C0H9C0,2026,5057,100.0,0.432,0.561,0.679,90,1.0,99.0
466920,2023,8759,99.0,0.008,0.024,0.068,71,1.0,78.0
466920,2024,8783,99.0,0.001,0.011,0.061,75,1.0,79.0
466920,2025,8759,98.0,0.001,0.001,0.039,76,1.0,74.0
466920,2026,5833,98.0,0.002,0.002,0.051,66,1.0,77.0
466910,2023,8758,100.0,0.395,0.498,0.608,64,1.0,97.0
466910,2024,8784,100.0,0.42,0.553,0.664,70,1.0,98.0
466910,2025,8758,100.0,0.336,0.446,0.55,77,1.0,96.0
466910,2026,5833,100.0,0.423,0.499,0.604,67,1.0,97.0
467530,2008,8783,100.0,0.132,0.271,0.477,80,1.0,94.0
467530,2009,8760,100.0,0.075,0.144,0.341,81,1.0,91.0
467530,2010,8760,100.0,0.066,0.176,0.34,86,1.0,90.0
467530,2011,8760,100.0,0.131,0.202,0.345,75,1.0,92.0
467530,2012,8784,100.0,0.172,0.271,0.409,84,1.0,92.0
467530,2013,8760,100.0,0.117,0.186,0.328,84,1.0,91.0
467530,2014,8760,100.0,0.069,0.132,0.247,87,1.0,89.0
467530,2015,8760,100.0,0.019,0.061,0.179,86,1.0,85.0
467530,2016,8782,100.0,0.015,0.04,0.191,84,1.0,86.0
467530,2017,2161,100.0,0.034,0.087,0.19,75,1.0,83.0
467530,2023,8759,100.0,0.238,0.379,0.497,94,1.0,94.0
467530,2024,8784,100.0,0.059,0.319,0.457,88,1.0,93.0
467530,2025,8760,100.0,0.099,0.366,0.505,94,1.0,95.0
467530,2026,5825,100.0,0.295,0.404,0.499,87,1.0,94.0
C0H990,2016,8558,99.0,0.407,0.441,0.511,96,1.0,95.0
C0H990,2017,8753,99.0,0.424,0.446,0.504,96,1.0,95.0
C0H990,2018,8078,99.0,0.337,0.399,0.48,96,1.0,94.0
C0H990,2019,8758,100.0,0.003,0.427,0.503,99,1.0,95.0
C0H990,2020,8784,100.0,0.0,0.4,0.462,99,1.0,92.0
C0H990,2021,8533,99.0,0.368,0.392,0.447,99,1.0,91.0
C0H990,2022,8756,100.0,0.065,0.45,0.492,99,1.0,94.0
C0H990,2023,8760,100.0,0.256,0.499,0.518,101,1.0,97.0
C0H990,2024,8762,100.0,0.323,0.558,0.575,97,1.0,99.0
C0H990,2025,8683,100.0,0.253,0.519,0.54,97,1.0,99.0
C0H990,2026,5664,100.0,0.237,0.558,0.586,88,1.0,99.0
