西元日期,星期,是否放假,備註
20270101,五,2,開國紀念日
20270102,六,2,
20270103,日,2,
20270104,一,0,
20270105,二,0,
20270106,三,0,
20270107,四,0,
20270108,五,0,
20270109,六,2,
20270110,日,2,
20270111,一,0,
20270112,二,0,
20270113,三,0,
20270114,四,0,
20270115,五,0,
20270116,六,2,
20270117,日,2,
20270118,一,0,
20270119,二,0,
20270120,三,0,
20270121,四,0,
20270122,五,0,
20270123,六,2,
20270124,日,2,
20270125,一,0,
20270126,二,0,
20270127,三,0,
20270128,四,0,
20270129,五,0,
20270130,六,2,
20270131,日,2,
20270201,一,0,
20270202,二,0,
20270203,三,0,
20270204,四,2,小年夜
20270205,五,2,農曆除夕
20270206,六,2,春節
20270207,日,2,春節
20270208,一,2,春節
20270209,二,2,補假
20270210,三,2,補假
20270211,四,0,
20270212,五,0,
20270213,六,2,
20270214,日,2,
20270215,一,0,
20270216,二,0,
20270217,三,0,
20270218,四,0,
20270219,五,0,
20270220,六,2,
20270221,日,2,
20270222,一,0,
20270223,二,0,
20270224,三,0,
20270225,四,0,
20270226,五,0,
20270227,六,2,
20270228,日,2,和平紀念日
20270301,一,2,補假
20270302,二,0,
20270303,三,0,
20270304,四,0,
20270305,五,0,
20270306,六,2,
20270307,日,2,
20270308,一,0,
20270309,二,0,
20270310,三,0,
20270311,四,0,
20270312,五,0,
20270313,六,2,
20270314,日,2,
20270315,一,0,
20270316,二,0,
20270317,三,0,
20270318,四,0,
20270319,五,0,
20270320,六,2,
20270321,日,2,
20270322,一,0,
20270323,二,0,
20270324,三,0,
20270325,四,0,
20270326,五,0,
20270327,六,2,
20270328,日,2,
20270329,一,0,
20270330,二,0,
20270331,三,0,
20270401,四,0,
20270402,五,0,
20270403,六,2,
20270404,日,2,兒童節
20270405,一,2,清明節
20270406,二,2,補假
20270407,三,0,
20270408,四,0,
20270409,五,0,
20270410,六,2,
20270411,日,2,
20270412,一,0,
20270413,二,0,
20270414,三,0,
20270415,四,0,
20270416,五,0,
20270417,六,2,
20270418,日,2,
20270419,一,0,
20270420,二,0,
20270421,三,0,
20270422,四,0,
20270423,五,0,
20270424,六,2,
20270425,日,2,
20270426,一,0,
20270427,二,0,
20270428,三,0,
20270429,四,0,
20270430,五,2,補假
20270501,六,2,勞動節
20270502,日,2,
20270503,一,0,
20270504,二,0,
20270505,三,0,
20270506,四,0,
20270507,五,0,
20270508,六,2,
20270509,日,2,
20270510,一,0,
20270511,二,0,
20270512,三,0,
20270513,四,0,
20270514,五,0,
20270515,六,2,
20270516,日,2,
20270517,一,0,
20270518,二,0,
20270519,三,0,
20270520,四,0,
20270521,五,0,
20270522,六,2,
20270523,日,2,
20270524,一,0,
20270525,二,0,
20270526,三,0,
20270527,四,0,
20270528,五,0,
20270529,六,2,
20270530,日,2,
20270531,一,0,
20270601,二,0,
20270602,三,0,
20270603,四,0,
20270604,五,0,
20270605,六,2,
20270606,日,2,
20270607,一,0,
20270608,二,0,
20270609,三,2,端午節
20270610,四,0,
20270611,五,0,
20270612,六,2,
20270613,日,2,
20270614,一,0,
20270615,二,0,
20270616,三,0,
20270617,四,0,
20270618,五,0,
20270619,六,2,
20270620,日,2,
20270621,一,0,
20270622,二,0,
20270623,三,0,
20270624,四,0,
20270625,五,0,
20270626,六,2,
20270627,日,2,
20270628,一,0,
20270629,二,0,
20270630,三,0,
20270701,四,0,
20270702,五,0,
20270703,六,2,
20270704,日,2,
20270705,一,0,
20270706,二,0,
20270707,三,0,
20270708,四,0,
20270709,五,0,
20270710,六,2,
20270711,日,2,
20270712,一,0,
20270713,二,0,
20270714,三,0,
20270715,四,0,
20270716,五,0,
20270717,六,2,
20270718,日,2,
20270719,一,0,
20270720,二,0,
20270721,三,0,
20270722,四,0,
20270723,五,0,
20270724,六,2,
20270725,日,2,
20270726,一,0,
20270727,二,0,
20270728,三,0,
20270729,四,0,
20270730,五,0,
20270731,六,2,
20270801,日,2,
20270802,一,0,
20270803,二,0,
20270804,三,0,
20270805,四,0,
20270806,五,0,
20270807,六,2,
20270808,日,2,
20270809,一,0,
20270810,二,0,
20270811,三,0,
20270812,四,0,
20270813,五,0,
20270814,六,2,
20270815,日,2,
20270816,一,0,
20270817,二,0,
20270818,三,0,
20270819,四,0,
20270820,五,0,
20270821,六,2,
20270822,日,2,
20270823,一,0,
20270824,二,0,
20270825,三,0,
20270826,四,0,
20270827,五,0,
20270828,六,2,
20270829,日,2,
20270830,一,0,
20270831,二,0,
20270901,三,0,
20270902,四,0,
20270903,五,0,
20270904,六,2,
20270905,日,2,
20270906,一,0,
20270907,二,0,
20270908,三,0,
20270909,四,0,
20270910,五,0,
20270911,六,2,
20270912,日,2,
20270913,一,0,
20270914,二,0,
20270915,三,2,中秋節
20270916,四,0,
20270917,五,0,
20270918,六,2,
20270919,日,2,
20270920,一,0,
20270921,二,0,
20270922,三,0,
20270923,四,0,
20270924,五,0,
20270925,六,2,
20270926,日,2,
20270927,一,0,
20270928,二,2,孔子誕辰紀念日/教師節
20270929,三,0,
20270930,四,0,
20271001,五,0,
20271002,六,2,
20271003,日,2,
20271004,一,0,
20271005,二,0,
20271006,三,0,
20271007,四,0,
20271008,五,0,
20271009,六,2,
20271010,日,2,國慶日
20271011,一,2,補假
20271012,二,0,
20271013,三,0,
20271014,四,0,
20271015,五,0,
20271016,六,2,
20271017,日,2,
20271018,一,0,
20271019,二,0,
20271020,三,0,
20271021,四,0,
20271022,五,0,
20271023,六,2,
20271024,日,2,
20271025,一,2,臺灣光復暨金門古寧頭大捷紀念日
20271026,二,0,
20271027,三,0,
20271028,四,0,
20271029,五,0,
20271030,六,2,
20271031,日,2,
20271101,一,0,
20271102,二,0,
20271103,三,0,
20271104,四,0,
20271105,五,0,
20271106,六,2,
20271107,日,2,
20271108,一,0,
20271109,二,0,
20271110,三,0,
20271111,四,0,
20271112,五,0,
20271113,六,2,
20271114,日,2,
20271115,一,0,
20271116,二,0,
20271117,三,0,
20271118,四,0,
20271119,五,0,
20271120,六,2,
20271121,日,2,
20271122,一,0,
20271123,二,0,
20271124,三,0,
20271125,四,0,
20271126,五,0,
20271127,六,2,
20271128,日,2,
20271129,一,0,
20271130,二,0,
20271201,三,0,
20271202,四,0,
20271203,五,0,
20271204,六,2,
20271205,日,2,
20271206,一,0,
20271207,二,0,
20271208,三,0,
20271209,四,0,
20271210,五,0,
20271211,六,2,
20271212,日,2,
20271213,一,0,
20271214,二,0,
20271215,三,0,
20271216,四,0,
20271217,五,0,
20271218,六,2,
20271219,日,2,
20271220,一,0,
20271221,二,0,
20271222,三,0,
20271223,四,0,
20271224,五,2,補假
20271225,六,2,行憲紀念日
20271226,日,2,
20271227,一,0,
20271228,二,0,
20271229,三,0,
20271230,四,0,
20271231,五,2,補假
