rank,night,weekday,next_day_off,p_clear,p_ci,moon_illum,dark_hours,dark_frac,astro_dusk,moonrise,moonset,holiday_w,score,note,eligible
1,2026-12-11,五,True,0.36,0.26-0.49,0.05,10.23,0.96,18:29,-,18:53,1.0,0.346,,True
2,2026-12-05,六,True,0.36,0.26-0.49,0.12,9.33,0.88,18:27,03:47,-,1.0,0.317,,True
3,2026-12-12,六,True,0.36,0.26-0.49,0.1,9.33,0.88,18:29,-,19:48,1.0,0.315,,True
4,2026-12-04,五,True,0.36,0.26-0.49,0.19,8.41,0.79,18:27,02:51,-,1.0,0.285,,True
5,2026-12-31,四,True,0.421,0.34-0.50,0.43,6.14,0.58,18:38,00:47,-,1.0,0.243,,True
6,2026-12-07,一,False,0.36,0.26-0.49,0.03,10.62,1.0,18:27,05:39,-,0.6,0.216,,True
7,2026-12-08,二,False,0.36,0.26-0.49,0.01,10.63,1.0,18:28,-,-,0.6,0.216,,True
8,2026-12-09,三,False,0.36,0.26-0.49,0.0,10.63,1.0,18:28,-,-,0.6,0.216,,True
9,2026-12-10,四,False,0.36,0.26-0.49,0.02,10.64,1.0,18:28,-,17:59,0.6,0.216,,True
10,2026-12-06,日,False,0.36,0.26-0.49,0.06,10.26,0.97,18:27,04:43,-,0.6,0.209,,True
11,2026-12-13,日,False,0.36,0.26-0.49,0.16,8.44,0.79,18:29,-,20:42,0.6,0.171,,True
12,2026-12-18,五,True,0.421,0.34-0.50,0.62,4.04,0.38,18:31,-,01:09,1.0,0.16,,True
13,2026-12-03,四,False,0.36,0.26-0.49,0.28,7.5,0.71,18:26,01:57,-,0.6,0.153,,True
14,2026-12-14,一,False,0.36,0.26-0.49,0.24,7.57,0.71,18:30,-,21:35,0.6,0.153,,True
15,2026-12-16,三,False,0.421,0.34-0.50,0.42,5.84,0.55,18:30,-,23:19,0.6,0.138,,True
16,2026-12-15,二,False,0.36,0.26-0.49,0.33,6.71,0.63,18:30,-,22:27,0.6,0.136,,True
17,2026-12-02,三,False,0.36,0.26-0.49,0.38,6.59,0.62,18:26,01:02,-,0.6,0.134,,True
18,2026-12-30,三,False,0.421,0.34-0.50,0.54,5.23,0.49,18:38,23:51,-,0.6,0.124,,True
19,2026-12-19,六,True,0.421,0.34-0.50,0.72,3.05,0.29,18:32,-,02:08,1.0,0.12,,True
20,2026-12-17,四,False,0.421,0.34-0.50,0.52,4.96,0.47,18:31,-,00:13,0.6,0.117,,True
21,2026-12-01,二,False,0.36,0.26-0.49,0.48,5.66,0.54,18:26,00:06,-,0.6,0.116,,True
22,2026-12-29,二,False,0.421,0.34-0.50,0.64,4.29,0.4,18:37,22:55,-,0.6,0.102,,True
23,2026-12-28,一,False,0.421,0.34-0.50,0.75,3.32,0.31,18:36,21:56,-,0.6,0.079,,True
24,2026-12-27,日,False,0.421,0.34-0.50,0.84,2.3,0.21,18:36,20:54,-,0.6,0.054,,False
25,2026-12-20,日,False,0.421,0.34-0.50,0.82,1.99,0.19,18:32,-,03:12,0.6,0.047,,False
26,2026-12-26,六,True,0.421,0.34-0.50,0.92,1.19,0.11,18:35,19:47,-,1.0,0.047,,False
27,2026-12-21,一,False,0.421,0.34-0.50,0.9,0.86,0.08,18:33,-,04:21,0.6,0.02,,False
28,2026-12-25,五,True,0.421,0.34-0.50,0.97,0.03,0.0,18:35,18:36,-,1.0,0.001,行憲紀念日,False
29,2026-12-22,二,False,0.421,0.34-0.50,0.96,0.0,0.0,18:33,-,05:31,0.6,0.0,,False
30,2026-12-23,三,False,0.421,0.34-0.50,0.99,0.0,0.0,18:34,-,-,0.6,0.0,,False
31,2026-12-24,四,True,0.421,0.34-0.50,1.0,0.0,0.0,18:34,17:24,-,1.0,0.0,,False
