halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.524,147,10,0.429,0.633
01b,0.421,159,10,0.333,0.506
02a,0.46,150,10,0.353,0.58
02b,0.575,127,10,0.426,0.7
03a,0.407,150,10,0.26,0.573
03b,0.423,156,10,0.316,0.544
04a,0.49,149,10,0.396,0.593
04b,0.404,146,10,0.34,0.46
05a,0.385,148,10,0.3,0.5
05b,0.225,160,10,0.094,0.388
06a,0.213,150,10,0.12,0.313
06b,0.52,150,10,0.36,0.673
07a,0.547,150,10,0.406,0.693
07b,0.463,147,10,0.312,0.612
08a,0.37,135,9,0.2,0.527
08b,0.444,160,10,0.325,0.556
09a,0.367,150,10,0.26,0.473
09b,0.44,150,10,0.32,0.553
10a,0.5,150,10,0.32,0.68
10b,0.431,160,10,0.306,0.581
11a,0.587,150,10,0.473,0.713
11b,0.503,149,10,0.369,0.642
12a,0.51,147,10,0.387,0.633
12b,0.465,157,10,0.372,0.561
