halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.469,147,10,0.367,0.593
01b,0.34,159,10,0.253,0.431
02a,0.413,150,10,0.32,0.527
02b,0.48,127,10,0.336,0.626
03a,0.353,150,10,0.207,0.513
03b,0.314,156,10,0.212,0.416
04a,0.396,149,10,0.3,0.487
04b,0.295,146,10,0.212,0.367
05a,0.284,148,10,0.187,0.396
05b,0.15,160,10,0.038,0.306
06a,0.093,150,10,0.047,0.14
06b,0.367,150,10,0.227,0.507
07a,0.433,150,10,0.327,0.553
07b,0.395,147,10,0.256,0.529
08a,0.259,135,9,0.148,0.363
08b,0.338,160,10,0.212,0.481
09a,0.247,150,10,0.18,0.313
09b,0.333,150,10,0.22,0.42
10a,0.38,150,10,0.233,0.533
10b,0.35,160,10,0.212,0.519
11a,0.473,150,10,0.36,0.6
11b,0.45,149,10,0.322,0.575
12a,0.449,147,10,0.32,0.585
12b,0.389,157,10,0.266,0.506
