halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.4246575342465753,146,10,0.289,0.575
01b,0.3227848101265823,158,10,0.236,0.409
02a,0.31756756756756754,148,10,0.231,0.413
02b,0.4251968503937008,127,10,0.296,0.567
03a,0.3,150,10,0.187,0.433
03b,0.28662420382165604,157,10,0.2,0.369
04a,0.28859060402684567,149,10,0.221,0.356
04b,0.2191780821917808,146,10,0.149,0.287
05a,0.18243243243243243,148,10,0.101,0.271
05b,0.11949685534591195,159,10,0.044,0.225
06a,0.03333333333333333,150,10,0.007,0.06
06b,0.17333333333333334,150,10,0.107,0.253
07a,0.24,150,10,0.167,0.32
07b,0.2108843537414966,147,10,0.112,0.325
08a,0.14814814814814814,135,9,0.081,0.23
08b,0.14375,160,10,0.062,0.231
09a,0.16666666666666666,150,10,0.113,0.213
09b,0.24,150,10,0.16,0.313
10a,0.26666666666666666,150,10,0.153,0.38
10b,0.29559748427672955,159,10,0.201,0.438
11a,0.42953020134228187,149,10,0.322,0.54
11b,0.40268456375838924,149,10,0.295,0.52
12a,0.4246575342465753,146,10,0.281,0.573
12b,0.379746835443038,158,10,0.308,0.452
