,p,n,n_years,ci_lo,ci_hi
1月,0.3717105263157895,304,10,0.285,0.474
2月,0.36727272727272725,275,10,0.265,0.482
3月,0.2931596091205212,307,10,0.22,0.359
4月,0.2542372881355932,295,10,0.205,0.307
5月,0.1498371335504886,307,10,0.074,0.24
6月,0.10333333333333333,300,10,0.067,0.143
7月,0.2255892255892256,297,10,0.168,0.283
8月,0.14576271186440679,295,10,0.082,0.219
9月,0.20333333333333334,300,10,0.147,0.257
10月,0.2815533980582524,309,10,0.217,0.353
11月,0.4161073825503356,298,10,0.339,0.485
12月,0.40131578947368424,304,10,0.318,0.477
