,def_A,def_A,def_B,def_B,evening_clear,evening_clear
,mean,count,mean,count,mean,count
night,,,,,,
2007,,0,,0,,0
2008,,0,,0,,0
2009,,0,,0,,0
2010,,0,,0,,0
2011,,0,,0,,0
2012,,0,,0,,0
2013,,0,,0,,0
2014,,0,,0,,0
2015,,0,,0,,0
2016,0.419,353,0.337,353,0.18518518518518517,351
2017,0.43,365,0.337,365,0.260989010989011,364
2018,0.43,337,0.365,337,0.28486646884273,337
2019,0.447,365,0.348,365,0.28493150684931506,365
2020,0.475,366,0.355,366,0.25136612021857924,366
2021,0.48,356,0.362,356,0.28651685393258425,356
2022,0.455,365,0.37,365,0.2554945054945055,364
2023,0.455,365,0.37,365,0.29863013698630136,365
2024,0.396,366,0.311,366,0.2644628099173554,363
2025,0.446,359,0.354,359,0.3,360
