halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.486,185,13,0.376,0.608
01b,0.382,186,13,0.246,0.538
02a,0.332,184,13,0.246,0.423
02b,0.415,176,14,0.282,0.546
03a,0.306,206,14,0.191,0.438
03b,0.374,214,14,0.266,0.47
04a,0.389,198,14,0.291,0.484
04b,0.313,166,14,0.258,0.366
05a,0.306,196,14,0.203,0.415
05b,0.208,202,14,0.099,0.349
06a,0.204,181,14,0.089,0.333
06b,0.477,197,14,0.349,0.609
07a,0.608,189,14,0.486,0.736
07b,0.543,208,14,0.405,0.673
08a,0.397,179,14,0.259,0.542
08b,0.429,196,14,0.305,0.548
09a,0.469,192,13,0.376,0.557
09b,0.438,194,13,0.313,0.549
10a,0.536,192,13,0.398,0.688
10b,0.528,197,13,0.403,0.672
11a,0.502,203,15,0.425,0.594
11b,0.447,206,15,0.332,0.559
12a,0.36,214,15,0.255,0.486
12b,0.421,214,15,0.338,0.502
