halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.432,185,13,0.325,0.559
01b,0.349,186,13,0.226,0.5
02a,0.283,184,13,0.203,0.372
02b,0.341,176,14,0.217,0.47
03a,0.272,206,14,0.168,0.39
03b,0.327,214,14,0.218,0.429
04a,0.308,198,14,0.217,0.401
04b,0.229,166,14,0.169,0.288
05a,0.245,196,14,0.159,0.332
05b,0.158,202,14,0.059,0.284
06a,0.149,181,14,0.058,0.263
06b,0.33,197,14,0.235,0.427
07a,0.508,189,14,0.404,0.624
07b,0.428,208,14,0.293,0.557
08a,0.33,179,14,0.223,0.453
08b,0.347,196,14,0.227,0.48
09a,0.307,192,13,0.222,0.382
09b,0.371,194,13,0.261,0.472
10a,0.443,192,13,0.29,0.601
10b,0.447,197,13,0.287,0.63
11a,0.404,203,15,0.311,0.52
11b,0.413,206,15,0.299,0.52
12a,0.308,214,15,0.206,0.425
12b,0.364,214,15,0.276,0.452
