halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.40555555555555556,180,13,0.299,0.533
01b,0.3548387096774194,186,13,0.236,0.485
02a,0.2832369942196532,173,13,0.2,0.386
02b,0.31952662721893493,169,14,0.215,0.437
03a,0.22842639593908629,197,14,0.148,0.325
03b,0.28846153846153844,208,14,0.195,0.383
04a,0.25668449197860965,187,14,0.169,0.341
04b,0.1794871794871795,156,14,0.107,0.255
05a,0.1774193548387097,186,14,0.105,0.25
05b,0.11578947368421053,190,13,0.038,0.212
06a,0.07471264367816093,174,14,0.027,0.141
06b,0.20526315789473684,190,14,0.125,0.298
07a,0.27586206896551724,174,14,0.185,0.368
07b,0.23115577889447236,199,14,0.156,0.32
08a,0.20348837209302326,172,14,0.131,0.287
08b,0.1912568306010929,183,14,0.111,0.277
09a,0.23204419889502761,181,13,0.145,0.324
09b,0.25263157894736843,190,13,0.176,0.328
10a,0.35135135135135137,185,13,0.223,0.5
10b,0.3917525773195876,194,13,0.262,0.548
11a,0.35858585858585856,198,15,0.275,0.46
11b,0.4010152284263959,197,15,0.298,0.506
12a,0.30434782608695654,207,15,0.187,0.441
12b,0.3492822966507177,209,15,0.276,0.425
