,p,n,n_years,ci_lo,ci_hi
1月,0.3797814207650273,366,13,0.275,0.497
2月,0.30116959064327486,342,14,0.222,0.384
3月,0.25925925925925924,405,14,0.203,0.31
4月,0.22157434402332363,343,14,0.163,0.277
5月,0.14627659574468085,376,14,0.078,0.225
6月,0.14285714285714285,364,14,0.082,0.215
7月,0.2520107238605898,373,14,0.189,0.322
8月,0.19718309859154928,355,14,0.136,0.266
9月,0.24258760107816713,371,13,0.182,0.308
10月,0.3720316622691293,379,13,0.265,0.504
11月,0.379746835443038,395,15,0.311,0.467
12月,0.3269230769230769,416,15,0.255,0.406
