halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.4,185,13,0.28,0.521
01b,0.339,186,13,0.214,0.478
02a,0.277,184,13,0.182,0.386
02b,0.335,176,14,0.217,0.453
03a,0.243,206,14,0.134,0.37
03b,0.299,214,14,0.197,0.403
04a,0.283,198,14,0.193,0.376
04b,0.157,166,14,0.083,0.229
05a,0.133,196,14,0.075,0.198
05b,0.084,202,14,0.01,0.179
06a,0.028,181,14,0.005,0.056
06b,0.091,197,14,0.045,0.144
07a,0.196,189,14,0.12,0.28
07b,0.231,208,14,0.128,0.345
08a,0.168,179,14,0.093,0.254
08b,0.199,196,14,0.117,0.298
09a,0.219,192,13,0.145,0.297
09b,0.263,194,13,0.158,0.361
10a,0.391,192,13,0.25,0.546
10b,0.401,197,13,0.274,0.546
11a,0.374,203,15,0.28,0.481
11b,0.354,206,15,0.266,0.445
12a,0.299,214,15,0.2,0.426
12b,0.355,214,15,0.282,0.426
