halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.335,185,13,0.218,0.463
01b,0.296,186,13,0.186,0.427
02a,0.217,184,13,0.132,0.328
02b,0.233,176,14,0.144,0.331
03a,0.204,206,14,0.111,0.315
03b,0.252,214,14,0.153,0.354
04a,0.192,198,14,0.122,0.265
04b,0.084,166,14,0.039,0.133
05a,0.071,196,14,0.027,0.124
05b,0.05,202,14,0.0,0.106
06a,0.017,181,14,0.0,0.038
06b,0.041,197,14,0.012,0.074
07a,0.132,189,14,0.075,0.195
07b,0.149,208,14,0.08,0.217
08a,0.089,179,14,0.05,0.132
08b,0.117,196,14,0.063,0.188
09a,0.125,192,13,0.068,0.187
09b,0.211,194,13,0.124,0.301
10a,0.312,192,13,0.194,0.448
10b,0.305,197,13,0.168,0.467
11a,0.276,203,15,0.186,0.39
11b,0.291,206,15,0.205,0.39
12a,0.22,214,15,0.125,0.33
12b,0.276,214,15,0.2,0.354
