halfmonth,p,n,n_years,ci_lo,ci_hi
01a,0.3,180,13,0.194,0.412
01b,0.2849462365591398,186,13,0.18,0.407
02a,0.2138728323699422,173,13,0.14,0.315
02b,0.25443786982248523,169,14,0.169,0.347
03a,0.17258883248730963,197,14,0.1,0.259
03b,0.22596153846153846,208,14,0.133,0.32
04a,0.1657754010695187,187,14,0.102,0.229
04b,0.0641025641025641,156,14,0.022,0.108
05a,0.043010752688172046,186,14,0.016,0.07
05b,0.04736842105263158,190,13,0.0,0.101
06a,0.005747126436781609,174,14,0.0,0.023
06b,0.031578947368421054,190,14,0.006,0.058
07a,0.06896551724137931,174,14,0.034,0.105
07b,0.07035175879396985,199,14,0.032,0.115
08a,0.06395348837209303,172,14,0.038,0.097
08b,0.09289617486338798,183,14,0.041,0.163
09a,0.08287292817679558,181,13,0.046,0.127
09b,0.17894736842105263,190,13,0.106,0.249
10a,0.24324324324324326,185,13,0.146,0.372
10b,0.26288659793814434,194,13,0.162,0.385
11a,0.26262626262626265,198,15,0.195,0.343
11b,0.29949238578680204,197,15,0.223,0.386
12a,0.2463768115942029,207,15,0.139,0.38
12b,0.28708133971291866,209,15,0.215,0.358
