,p,n,n_years,ci_lo,ci_hi
1月,0.2923497267759563,366,13,0.195,0.399
2月,0.23391812865497075,342,14,0.17,0.303
3月,0.2,405,14,0.14,0.254
4月,0.119533527696793,343,14,0.077,0.16
5月,0.04521276595744681,376,14,0.015,0.081
6月,0.019230769230769232,364,14,0.006,0.034
7月,0.06970509383378017,373,14,0.045,0.098
8月,0.07887323943661972,355,14,0.043,0.119
9月,0.1320754716981132,371,13,0.098,0.164
10月,0.2532981530343008,379,13,0.178,0.343
11月,0.2810126582278481,395,15,0.226,0.345
12月,0.2668269230769231,416,15,0.201,0.34
