,def_A,def_A,def_B,def_B,evening_clear,evening_clear
,mean,count,mean,count,mean,count
night,,,,,,
2008,,0,,0,,0
2009,,0,,0,,0
2010,,0,,0,,0
2011,0.246,61,0.164,61,0.14754098360655737,61
2012,0.232,345,0.168,345,0.1415929203539823,339
2013,0.292,356,0.219,356,0.18654434250764526,327
2014,0.301,355,0.22,355,0.19047619047619047,336
2015,0.222,342,0.173,342,0.1580547112462006,329
2016,0.195,364,0.146,364,0.11263736263736264,364
2017,0.265,325,0.188,325,0.1656441717791411,326
2018,0.304,329,0.21,329,0.1743119266055046,327
2019,0.423,142,0.359,142,0.32575757575757575,132
2020,0.267,344,0.177,344,0.1702127659574468,329
2021,0.292,356,0.239,356,0.2309941520467836,342
2022,0.271,339,0.198,339,0.16129032258064516,310
2023,0.248,339,0.195,339,0.16717325227963525,329
2024,0.189,350,0.129,350,0.11144578313253012,332
2025,0.189,328,0.128,328,0.15894039735099338,302
