definition,year,ranking,n,base_rate,top20_rate,lift
def_A,2012,score,345,0.359,0.319,0.887
def_A,2012,score_moon,345,0.359,0.348,0.968
def_A,2012,score_clim,345,0.359,0.522,1.452
def_A,2013,score,356,0.435,0.592,1.359
def_A,2013,score_moon,356,0.435,0.479,1.1
def_A,2013,score_clim,356,0.435,0.577,1.326
def_A,2014,score,355,0.454,0.563,1.242
def_A,2014,score_moon,355,0.454,0.465,1.025
def_A,2014,score_clim,355,0.454,0.634,1.398
def_A,2015,score,342,0.424,0.485,1.145
def_A,2015,score_moon,342,0.424,0.559,1.318
def_A,2015,score_clim,342,0.424,0.471,1.11
def_A,2016,score,364,0.363,0.472,1.302
def_A,2016,score_moon,364,0.363,0.431,1.187
def_A,2016,score_clim,364,0.363,0.528,1.455
def_A,2017,score,325,0.446,0.538,1.207
def_A,2017,score_moon,325,0.446,0.462,1.034
def_A,2017,score_clim,325,0.446,0.585,1.31
def_A,2018,score,329,0.459,0.508,1.106
def_A,2018,score_moon,329,0.459,0.523,1.14
def_A,2018,score_clim,329,0.459,0.462,1.006
def_A,2019,score,142,0.563,0.607,1.078
def_A,2019,score_moon,142,0.563,0.464,0.824
def_A,2019,score_clim,142,0.563,0.893,1.585
def_A,2020,score,344,0.474,0.618,1.304
def_A,2020,score_moon,344,0.474,0.559,1.179
def_A,2020,score_clim,344,0.474,0.618,1.304
def_A,2021,score,356,0.458,0.479,1.046
def_A,2021,score_moon,356,0.458,0.521,1.138
def_A,2021,score_clim,356,0.458,0.465,1.015
def_A,2022,score,339,0.392,0.478,1.217
def_A,2022,score_moon,339,0.392,0.478,1.217
def_A,2022,score_clim,339,0.392,0.493,1.255
def_A,2023,score,339,0.386,0.373,0.966
def_A,2023,score_moon,339,0.386,0.313,0.811
def_A,2023,score_clim,339,0.386,0.358,0.927
def_A,2024,score,350,0.3,0.414,1.381
def_A,2024,score_moon,350,0.3,0.386,1.286
def_A,2024,score_clim,350,0.3,0.386,1.286
def_A,2025,score,328,0.357,0.385,1.078
def_A,2025,score_moon,328,0.357,0.323,0.906
def_A,2025,score_clim,328,0.357,0.215,0.604
evening_clear,2012,score,339,0.242,0.358,1.481
evening_clear,2012,score_moon,339,0.242,0.254,1.049
evening_clear,2012,score_clim,339,0.242,0.299,1.234
evening_clear,2013,score,327,0.287,0.369,1.284
evening_clear,2013,score_moon,327,0.287,0.323,1.124
evening_clear,2013,score_clim,327,0.287,0.4,1.391
evening_clear,2014,score,336,0.289,0.343,1.189
evening_clear,2014,score_moon,336,0.289,0.269,0.931
evening_clear,2014,score_clim,336,0.289,0.418,1.448
evening_clear,2015,score,329,0.271,0.369,1.365
evening_clear,2015,score_moon,329,0.271,0.369,1.365
evening_clear,2015,score_clim,329,0.271,0.446,1.649
evening_clear,2016,score,364,0.187,0.319,1.71
evening_clear,2016,score_moon,364,0.187,0.278,1.487
evening_clear,2016,score_clim,364,0.187,0.222,1.19
evening_clear,2017,score,326,0.304,0.354,1.165
evening_clear,2017,score_moon,326,0.304,0.338,1.115
evening_clear,2017,score_clim,326,0.304,0.369,1.216
evening_clear,2018,score,327,0.281,0.308,1.094
evening_clear,2018,score_moon,327,0.281,0.354,1.258
evening_clear,2018,score_clim,327,0.281,0.2,0.711
evening_clear,2019,score,132,0.508,0.385,0.758
evening_clear,2019,score_moon,132,0.508,0.423,0.834
evening_clear,2019,score_clim,132,0.508,0.654,1.288
evening_clear,2020,score,329,0.301,0.369,1.227
evening_clear,2020,score_moon,329,0.301,0.369,1.227
evening_clear,2020,score_clim,329,0.301,0.492,1.636
evening_clear,2021,score,342,0.319,0.368,1.154
evening_clear,2021,score_moon,342,0.319,0.426,1.338
evening_clear,2021,score_clim,342,0.319,0.235,0.738
evening_clear,2022,score,310,0.255,0.355,1.392
evening_clear,2022,score_moon,310,0.255,0.274,1.076
evening_clear,2022,score_clim,310,0.255,0.226,0.886
evening_clear,2023,score,329,0.264,0.323,1.222
evening_clear,2023,score_moon,329,0.264,0.262,0.989
evening_clear,2023,score_clim,329,0.264,0.292,1.105
evening_clear,2024,score,332,0.172,0.197,1.147
evening_clear,2024,score_moon,332,0.172,0.212,1.236
evening_clear,2024,score_clim,332,0.172,0.167,0.971
evening_clear,2025,score,302,0.255,0.267,1.046
evening_clear,2025,score_moon,302,0.255,0.217,0.85
evening_clear,2025,score_clim,302,0.255,0.333,1.307
