dpd_threshold,min_run,definition,spearman_vs_base,annual_mean,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
1.21,2.0,def_A,0.923,0.503,0.504,0.453,0.412,0.412,0.329,0.466,0.665,0.573,0.604,0.599,0.577,0.446
1.21,2.0,def_B,0.986,0.384,0.42,0.347,0.321,0.335,0.239,0.294,0.549,0.389,0.404,0.488,0.462,0.36
1.21,3.0,def_A,0.979,0.462,0.469,0.425,0.379,0.393,0.302,0.41,0.617,0.501,0.531,0.563,0.538,0.416
1.21,3.0,def_B,0.986,0.384,0.42,0.347,0.321,0.335,0.239,0.294,0.549,0.389,0.404,0.488,0.462,0.36
1.21,4.0,def_A,0.986,0.424,0.429,0.392,0.35,0.36,0.279,0.365,0.564,0.44,0.49,0.532,0.496,0.397
1.21,4.0,def_B,0.986,0.384,0.42,0.347,0.321,0.335,0.239,0.294,0.549,0.389,0.404,0.488,0.462,0.36
1.21,,evening_clear,0.699,0.304,0.404,0.351,0.286,0.251,0.16,0.168,0.3,0.234,0.288,0.42,0.43,0.361
1.71,2.0,def_A,0.923,0.478,0.477,0.436,0.39,0.401,0.317,0.439,0.625,0.525,0.573,0.571,0.55,0.43
1.71,2.0,def_B,0.972,0.358,0.404,0.322,0.31,0.294,0.224,0.278,0.509,0.363,0.363,0.458,0.43,0.341
1.71,3.0,def_A,0.986,0.438,0.453,0.403,0.36,0.368,0.286,0.365,0.592,0.467,0.492,0.555,0.511,0.4
1.71,3.0,def_B,0.972,0.358,0.404,0.322,0.31,0.294,0.224,0.278,0.509,0.363,0.363,0.458,0.43,0.341
1.71,4.0,def_A,0.972,0.397,0.415,0.367,0.336,0.33,0.264,0.331,0.529,0.408,0.435,0.504,0.467,0.376
1.71,4.0,def_B,0.972,0.358,0.404,0.322,0.31,0.294,0.224,0.278,0.509,0.363,0.363,0.458,0.43,0.341
1.71,,evening_clear,0.65,0.282,0.388,0.319,0.272,0.233,0.152,0.157,0.276,0.211,0.256,0.391,0.395,0.337
2.21,2.0,def_A,0.979,0.456,0.466,0.419,0.369,0.376,0.307,0.41,0.61,0.483,0.526,0.563,0.526,0.421
2.21,2.0,def_B,0.972,0.338,0.391,0.311,0.3,0.272,0.201,0.243,0.466,0.339,0.339,0.445,0.408,0.336
2.21,3.0,def_A,1.0,0.412,0.434,0.372,0.34,0.354,0.256,0.347,0.574,0.413,0.453,0.532,0.474,0.39
2.21,3.0,def_B,0.972,0.338,0.391,0.311,0.3,0.272,0.201,0.243,0.466,0.339,0.339,0.445,0.408,0.336
2.21,4.0,def_A,0.979,0.372,0.394,0.347,0.321,0.313,0.231,0.307,0.499,0.371,0.409,0.481,0.435,0.357
2.21,4.0,def_B,0.972,0.338,0.391,0.311,0.3,0.272,0.201,0.243,0.466,0.339,0.339,0.445,0.408,0.336
2.21,,evening_clear,0.531,0.268,0.38,0.301,0.259,0.222,0.146,0.143,0.252,0.197,0.243,0.372,0.38,0.327
2.71,2.0,def_A,0.986,0.433,0.447,0.397,0.352,0.371,0.279,0.384,0.589,0.453,0.487,0.532,0.509,0.4
2.71,2.0,def_B,0.965,0.317,0.377,0.303,0.279,0.255,0.183,0.201,0.426,0.323,0.324,0.429,0.381,0.32
2.71,3.0,def_A,0.986,0.393,0.423,0.358,0.326,0.341,0.244,0.317,0.537,0.4,0.422,0.512,0.457,0.381
2.71,3.0,def_B,0.965,0.317,0.377,0.303,0.279,0.255,0.183,0.201,0.426,0.323,0.324,0.429,0.381,0.32
2.71,4.0,def_A,0.972,0.352,0.385,0.333,0.31,0.299,0.214,0.272,0.469,0.349,0.378,0.46,0.408,0.346
2.71,4.0,def_B,0.965,0.317,0.377,0.303,0.279,0.255,0.183,0.201,0.426,0.323,0.324,0.429,0.381,0.32
2.71,,evening_clear,0.538,0.249,0.366,0.298,0.235,0.21,0.13,0.124,0.228,0.161,0.218,0.359,0.357,0.308
3.21,2.0,def_A,0.993,0.413,0.434,0.378,0.348,0.354,0.264,0.36,0.562,0.424,0.453,0.512,0.484,0.381
3.21,2.0,def_B,0.895,0.297,0.369,0.3,0.264,0.245,0.178,0.19,0.385,0.283,0.298,0.404,0.362,0.29
3.21,3.0,def_A,0.979,0.368,0.407,0.347,0.312,0.319,0.219,0.288,0.494,0.36,0.389,0.488,0.43,0.364
3.21,3.0,def_B,0.895,0.297,0.369,0.3,0.264,0.245,0.178,0.19,0.385,0.283,0.298,0.404,0.362,0.29
3.21,4.0,def_A,0.909,0.33,0.375,0.319,0.3,0.288,0.196,0.238,0.433,0.299,0.347,0.445,0.399,0.325
3.21,4.0,def_B,0.895,0.297,0.369,0.3,0.264,0.245,0.178,0.19,0.385,0.283,0.298,0.404,0.362,0.29
3.21,,evening_clear,0.538,0.235,0.355,0.289,0.225,0.19,0.13,0.124,0.201,0.149,0.194,0.335,0.334,0.298
