,def_A,def_A,def_B,def_B,evening_clear,evening_clear
,mean,count,mean,count,mean,count
night,,,,,,
2008,,0,,0,,0
2009,,0,,0,,0
2010,,0,,0,,0
2011,0.344,61,0.295,61,0.2459016393442623,61
2012,0.359,345,0.301,345,0.24188790560471976,339
2013,0.435,356,0.348,356,0.2874617737003058,327
2014,0.454,355,0.392,355,0.28869047619047616,336
2015,0.424,342,0.342,342,0.270516717325228,329
2016,0.363,364,0.299,364,0.18681318681318682,364
2017,0.446,325,0.391,325,0.30368098159509205,326
2018,0.459,329,0.359,329,0.28134556574923547,327
2019,0.563,142,0.514,142,0.5075757575757576,132
2020,0.474,344,0.366,344,0.3009118541033435,329
2021,0.458,356,0.379,356,0.31871345029239767,342
2022,0.392,339,0.333,339,0.25483870967741934,310
2023,0.386,339,0.322,339,0.26443768996960487,329
2024,0.3,350,0.223,350,0.1716867469879518,332
2025,0.357,328,0.277,328,0.25496688741721857,302
