time,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.05,0.0,0.29,0.07,0.16,0.03,0.08,0.24,0.15,0.03,0.03,0.19
2009,0.1,0.25,0.1,0.07,0.29,0.12,0.19,0.21,0.28,0.03,0.02,0.03
2010,0.13,0.05,0.05,0.03,0.1,0.02,0.08,0.16,0.2,0.06,0.08,0.24
2011,0.0,0.12,0.02,0.23,0.05,0.07,0.15,0.21,0.28,0.0,0.08,0.02
2012,0.03,0.05,0.19,0.07,0.11,0.08,0.11,0.11,0.17,0.23,0.05,0.1
2013,0.11,0.09,0.19,0.07,0.08,0.17,0.19,0.24,0.4,0.11,0.22,0.13
2014,0.35,0.07,0.16,0.23,0.06,0.1,0.5,0.21,0.32,0.37,0.25,0.08
2015,0.19,0.09,0.15,0.2,0.03,0.07,0.29,0.18,0.18,0.21,0.22,0.05
2016,0.06,0.17,0.13,0.08,0.1,0.13,0.37,0.27,0.1,0.19,0.17,0.26
2017,0.16,0.16,0.03,,,,,,,,,
all,0.12,0.11,0.13,0.12,0.11,0.09,0.22,0.2,0.23,0.14,0.12,0.12
