time,sat_le2_night,sat_mean_night,sat_n_night,era5_tcc_night,era5_mh_night,rh_night,manual_le2_day,sat_le2_day
2023-01,0.0,9.023,264,0.698,0.348,80.753,0.065,0.087
2023-02,0.0,8.022,45,0.8,0.272,80.575,0.036,0.014
2023-03,0.0,6.86,279,0.558,0.32,77.341,0.097,0.216
2023-04,0.033,7.289,266,0.569,0.362,79.789,0.083,0.11
2023-05,0.0,7.602,279,0.632,0.535,81.369,0.058,0.116
2023-06,0.0,8.809,262,0.852,0.837,84.3,0.007,0.053
2023-07,0.011,6.709,275,0.692,0.681,78.022,0.042,0.168
2023-08,0.0,7.414,278,0.744,0.715,82.122,0.026,0.119
2023-09,0.085,5.8,260,0.476,0.429,81.559,0.1,0.373
2023-10,0.0,8.383,269,0.688,0.523,82.437,0.032,0.068
2023-11,0.0,7.085,270,0.548,0.349,77.959,0.09,0.25
2023-12,0.0,8.179,273,0.694,0.394,84.204,0.068,0.11
2024-01,0.0,7.409,269,0.532,0.254,78.441,0.087,0.1
2024-02,0.0,7.266,259,0.747,0.321,85.103,0.107,0.193
2024-03,0.0,7.91,278,0.64,0.52,80.928,0.052,0.077
2024-04,0.0,8.257,265,0.743,0.654,87.174,0.03,0.07
2024-05,0.0,8.45,278,0.794,0.726,80.305,0.016,0.058
2024-06,0.0,8.974,268,0.938,0.899,82.889,0.007,0.03
2024-07,0.011,5.874,270,0.476,0.441,79.384,0.077,0.165
2024-08,0.025,5.768,271,0.526,0.503,80.631,0.09,0.226
2024-09,0.048,6.154,266,0.561,0.513,81.093,0.107,0.26
2024-10,0.025,8.112,276,0.777,0.579,82.918,0.058,0.123
2024-11,0.0,8.524,269,0.8,0.513,80.422,0.033,0.027
2024-12,0.0,9.102,266,0.809,0.39,76.577,0.055,0.055
2025-01,0.0,8.235,255,0.588,0.291,71.172,0.0,0.055
2025-02,0.0,8.678,245,0.762,0.534,81.266,0.0,0.068
2025-03,0.0,7.754,272,0.63,0.46,77.993,0.0,0.261
2025-04,0.0,8.082,256,0.684,0.565,78.513,0.0,0.157
2025-05,0.0,8.699,276,0.793,0.777,78.061,0.0,0.065
2025-06,0.144,7.421,259,0.765,0.753,79.811,0.0,0.13
2025-07,0.19,7.391,274,0.797,0.776,79.91,0.0,0.145
2025-08,0.505,4.089,271,0.465,0.443,73.713,0.0,0.345
2025-09,0.389,5.386,267,0.573,0.534,74.256,0.0,0.31
2025-10,0.47,4.97,271,0.514,0.38,79.254,0.0,0.41
2025-11,0.111,7.847,196,0.712,0.52,78.3,0.0,0.04
2025-12,0.111,7.834,277,0.713,0.377,79.645,0.0,0.087
2026-01,0.09,8.061,277,,,77.054,0.0,0.126
2026-02,0.115,7.671,252,,,79.389,0.0,0.168
2026-03,0.147,6.475,276,,,79.437,0.0,0.116
2026-04,0.193,6.823,266,,,81.848,0.0,0.187
2026-05,0.244,6.812,276,,,77.95,0.0,0.126
2026-06,0.156,7.684,263,,,87.0,0.0,0.147
2026-07,0.323,5.589,265,,,78.448,0.0,0.177
2026-08,0.272,6.577,279,,,81.093,0.0,0.145
2026-09,0.0,10.0,1,,,72.0,,
